,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,cluster
0,5524,1957,Graduation,Single,58138,0,58,3,8,10,4,7,1
1,2174,1954,Graduation,Single,46344,1,38,2,1,1,2,5,2
2,4141,1965,Graduation,Together,71613,0,26,1,8,2,10,4,0
3,6182,1984,Graduation,Together,26646,1,26,2,2,0,4,6,2
4,5324,1981,PhD,Married,58293,1,94,5,5,3,6,5,1
5,7446,1967,Master,Together,62513,0,16,2,6,4,10,6,1
6,965,1971,Graduation,Divorced,55635,0,34,4,7,3,7,6,1
7,6177,1985,PhD,Married,33454,1,32,2,4,0,4,8,2
8,4855,1974,PhD,Together,30351,1,19,1,3,0,2,9,2
10,387,1976,Basic,Married,7500,0,59,1,2,0,3,8,2
11,2125,1959,Graduation,Divorced,63033,0,82,1,3,4,8,2,0
12,8180,1952,Master,Divorced,59354,1,53,3,6,1,5,6,1
13,2569,1987,Graduation,Married,17323,0,38,1,1,0,3,8,2
14,2114,1946,PhD,Single,82800,0,23,1,7,6,12,3,0
15,9736,1980,Graduation,Married,41850,1,51,3,3,0,3,8,2
16,4939,1946,Graduation,Together,37760,0,20,2,4,1,6,7,2
17,6565,1949,Master,Married,76995,0,91,2,11,4,9,5,1
18,2278,1985,2n Cycle,Single,33812,1,86,2,2,1,3,6,2
19,9360,1982,Graduation,Married,37040,0,41,1,4,2,5,8,2
21,1993,1949,PhD,Married,58607,0,63,3,2,3,9,8,1
22,4047,1954,PhD,Married,65324,0,0,3,6,2,9,4,1
23,1409,1951,Graduation,Together,40689,0,69,7,7,1,5,8,1
24,7892,1969,Graduation,Single,18589,0,89,2,2,1,3,7,2
25,2404,1976,Graduation,Married,53359,1,4,4,5,1,4,7,1
26,9422,1989,Graduation,Married,38360,1,26,2,2,1,4,3,2
27,1966,1965,PhD,Married,84618,0,96,1,6,9,10,2,0
28,6864,1989,Master,Divorced,10979,0,34,2,3,0,3,5,2
29,3033,1963,Master,Together,38620,0,56,1,2,5,3,3,2
30,5710,1970,Graduation,Together,40548,0,31,2,2,1,4,5,2
31,7373,1952,PhD,Divorced,46610,0,8,6,4,1,6,6,1
32,8755,1946,Master,Married,68657,0,4,1,3,5,9,7,0
33,10738,1951,Master,Single,49389,1,55,1,2,0,3,7,2
34,4339,1970,PhD,Married,67353,0,37,5,5,6,12,2,0
35,10755,1976,2n Cycle,Married,23718,1,76,3,3,1,2,7,2
36,8595,1973,Graduation,Widow,42429,0,99,2,1,1,3,5,2
37,2968,1943,PhD,Divorced,48948,0,53,2,7,10,5,6,0
38,8601,1980,Graduation,Married,80011,0,3,2,8,6,5,4,0
39,503,1985,Master,Married,20559,1,88,2,2,0,3,8,2
40,8430,1957,Graduation,Together,21994,0,4,1,0,0,3,5,2
41,2139,1975,Master,Married,7500,1,19,3,2,0,3,5,2
42,1371,1976,Graduation,Single,79941,0,72,1,2,4,9,1,0
43,9909,1996,2n Cycle,Married,7500,0,24,3,3,1,3,9,2
44,7286,1968,Graduation,Together,41728,1,92,1,2,0,2,10,2
